Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
01/05/2017,0.33,43.99999999999999,106.35510270898818,288.93696567346575,364.87640052618025,222.00396521029472,44,44,241,240,62.35510270898819,244.93696567346575,320.87640052618025,178.00396521029472
08/05/2017,0.15,43.99999999999999,76.0082196943283,259.8613577660656,73.8248019904995,246.24986227211,44,44,44,241,32.00821969432831,215.86135776606562,29.824801990499502,202.24986227211
15/05/2017,0.31,188.99999999999997,130.79036818931579,124.89365188241959,-109.64785376420974,65.73257891456603,44,44,44,44,-58.209631810684186,-64.10634811758038,-298.6478537642097,-123.26742108543394
22/05/2017,0.28,188.99999999999997,52.83503726800203,290.8655271349526,-34.70883350258589,-126.72546849853515,189,44,44,44,-136.16496273199795,101.8655271349526,-223.70883350258586,-315.7254684985351
29/05/2017,0.41,188.99999999999997,297.78115123195647,553.0140293702316,289.71952254163745,-20.881112632751464,189,189,44,44,108.7811512319565,364.0140293702316,100.71952254163747,-209.88111263275144
05/06/2017,0.25,188.99999999999997,371.8835007048416,650.7078340366363,425.4676034434509,222.7229898387146,189,189,189,44,182.88350070484162,461.7078340366363,236.46760344345094,33.722989838714625
12/06/2017,0.06,188.99999999999997,153.2959408785248,631.834217349968,528.3250551390457,324.01264493055345,189,189,189,189,-35.70405912147518,442.83421734996796,339.32505513904573,135.01264493055348
19/06/2017,0.16,190.99999999999997,134.43845372003554,549.7962693077469,383.3290009712982,245.94445175707818,189,189,189,189,-56.56154627996443,358.7962693077469,192.32900097129826,54.94445175707821
26/06/2017,0.14,104.0,109.45299031605721,539.7605673810386,192.95450717924118,246.14970727599143,191,189,189,189,5.45299031605721,435.76056738103864,88.95450717924118,142.14970727599143
03/07/2017,0.25,104.0,134.26951388230324,560.6406779789734,200.77235049575805,129.42520080354214,104,191,189,189,30.269513882303244,456.6406779789734,96.77235049575805,25.42520080354214
10/07/2017,0.12,104.0,75.3757741064453,444.1701954134941,206.09816554674148,118.20843114585877,104,104,191,189,-28.624225893554694,340.1701954134941,102.09816554674148,14.208431145858768
17/07/2017,0.36,104.0,18.803908599265814,406.0923875217438,108.35260254968166,117.8561027748108,104,104,104,191,-85.19609140073419,302.0923875217438,4.352602549681663,13.856102774810793
24/07/2017,0.02,104.0,246.31332986445426,431.2008587804031,38.7914910281229,79.52194366941929,104,104,104,104,142.31332986445426,327.2008587804031,-65.20850897187711,-24.478056330580714
31/07/2017,0.09,107.99999999999999,266.63425654909133,579.6474036777496,78.1320405693388,55.846559979071614,104,104,104,104,158.63425654909133,471.6474036777496,-29.867959430661188,-52.15344002092837
07/08/2017,0.06,9.0,212.0949075549412,567.1477627840806,305.84779009635923,-21.54946581505537,108,104,104,104,203.0949075549412,558.1477627840806,296.84779009635923,-30.54946581505537
14/08/2017,0.24,18.0,375.23546878536223,580.2883180760193,328.65122571577075,186.72545471207619,9,108,104,104,357.23546878536223,562.2883180760193,310.65122571577075,168.72545471207619
21/08/2017,0.08,27.999999999999996,182.42443036528587,373.57923452810286,342.866770423851,190.4008376106262,18,9,108,104,154.42443036528587,345.57923452810286,314.866770423851,162.4008376106262
28/08/2017,0.24,29.0,12.124460674174427,112.04007451344013,97.99534441791057,182.53145414845466,28,18,9,108,-16.87553932582557,83.04007451344013,68.99534441791057,153.53145414845466
04/09/2017,0.09,47.99999999999999,24.507216024678947,3.9393496273042263,-150.7136809939289,-118.1113145778942,29,28,18,9,-23.492783975321046,-44.06065037269577,-198.7136809939289,-166.1113145778942
11/09/2017,0.51,47.99999999999999,-13.123640903827548,32.51827226022482,-35.977761100859645,-79.58220313416481,48,29,28,18,-61.12364090382754,-15.481727739775174,-83.97776110085964,-127.58220313416481
18/09/2017,0.19,47.99999999999999,39.28300122712374,101.59173626538276,54.73784885897636,4.924436974644363,48,48,29,28,-8.716998772876252,53.59173626538277,6.7378488589763705,-43.07556302535563
25/09/2017,0.33,2.0,125.80448536898614,191.82248258780479,121.71709646131039,58.52834050709963,48,48,48,29,123.80448536898614,189.82248258780479,119.71709646131039,56.52834050709963
02/10/2017,0.14,4.0,196.46684931599617,308.0489696754074,200.1019892033577,174.94674554534913,2,48,48,48,192.46684931599617,304.0489696754074,196.1019892033577,170.94674554534913
09/10/2017,0.12,4.0,120.03956896419525,248.6784552690029,291.6559709868431,164.42998609734536,4,2,48,48,116.03956896419525,244.6784552690029,287.6559709868431,160.42998609734536
16/10/2017,0.45,6.999999999999999,33.81101232701659,77.85063040435314,189.86484595478058,244.85890865165712,4,4,2,48,26.81101232701659,70.85063040435314,182.86484595478058,237.85890865165712
23/10/2017,0.35,6.999999999999999,13.016691869223713,-16.825662574743628,-0.7463444713254273,65.24879812122822,7,4,4,2,6.016691869223714,-23.825662574743628,-7.746344471325426,58.24879812122822
30/10/2017,0.38,4.0,11.08101717267692,4.466059077061415,-5.00304973737657,-7.537770039716661,7,7,4,4,7.081017172676921,0.4660590770614146,-9.003049737376571,-11.537770039716662
06/11/2017,0.45,4.0,14.958038365665674,4.181358712572902,9.92664983112812,-11.5177053599751,4,7,7,4,10.958038365665674,0.18135871257290237,5.92664983112812,-15.5177053599751
13/11/2017,0.25,4.0,7.213074899983406,-2.8937192252238093,0.6677933256535232,6.306887440775335,4,4,7,7,3.213074899983406,-6.893719225223809,-3.3322066743464767,2.306887440775335
20/11/2017,0.3,-18.0,4.662314464707374,-1.813186293886453,3.386423886090368,10.490124716100693,4,4,4,7,22.662314464707375,16.186813706113547,21.38642388609037,28.490124716100695
27/11/2017,0.14,54.99999999999999,8.283204649286866,2.072040574337989,9.311352978208662,10.737023266621827,-18,4,4,4,-46.71679535071313,-52.927959425662,-45.68864702179133,-44.26297673337817
04/12/2017,0.3,5.0,-68.94386615537167,-4.87915500107348,5.089231802426577,12.017421739269494,55,-18,4,4,-73.94386615537167,-9.87915500107348,0.08923180242657658,7.017421739269494
